Year Month,VEDA Measure,VEDA Measure PY,VEDA Measure Sentiment,VEDA Measure FormatString,VEDA Measure Category,VEDA Measure Name
2021-01-31 00:00:00,29.7679,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From HM Qualified to Offer Extended Average  (Cal Days)
2021-01-31 00:00:00,33.7163,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From HM Qualified to Offer Extended Median (Cal Days)
2021-01-31 00:00:00,0.0004,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to HM Qualified Average (Cal Days)
2021-01-31 00:00:00,0.0004,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to HM Qualified Median (Cal Days)
2021-01-31 00:00:00,29.7683,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to Offer Extended  Average (Cal Days)
2021-01-31 00:00:00,33.7165,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to Offer Extended Median (Cal Days)
2021-01-31 00:00:00,19.5595,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Accepted to Hired Average (Cal Days)
2021-01-31 00:00:00,13.9669,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Accepted to Hired Median (Cal Days)
2021-01-31 00:00:00,20.0551,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Accepted To Onboard Average (Cal Days)
2021-01-31 00:00:00,14.4646,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Accepted To Onboard Median (Cal Days)
2021-01-31 00:00:00,0.1909,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Extended to Offer Accepted Average (Cal Days)
2021-01-31 00:00:00,0.1294,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Extended to Offer Accepted Median (Cal Days)
2021-01-31 00:00:00,55.5568,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Hired Average (Cal Days)
2021-01-31 00:00:00,48.8063,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Hired Median (Cal Days)
2021-01-31 00:00:00,0.1613,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To HM Qualified  Median (Cal Days)
2021-01-31 00:00:00,6.0484,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To HM Qualified Average (Cal Days)
2021-01-31 00:00:00,17.7957,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Interview Scheduled Average (Cal Days)
2021-01-31 00:00:00,19.344,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Interview Scheduled Median (Cal Days)
2021-01-31 00:00:00,6.048,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted to MSP Qualified Average (Cal Days)
2021-01-31 00:00:00,0.1611,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted to MSP Qualified Median (Cal Days)
2021-01-31 00:00:00,34.71,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Offer Extended  Median (Cal Days)
2021-01-31 00:00:00,35.8065,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Offer Extended Average (Cal Days)
2021-01-31 00:00:00,56.0525,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Onboard Average  (Cal Days)
2021-01-31 00:00:00,49.304,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Onboard Median (Cal Days)
2021-01-31 00:00:00,0.2815,,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Active Assignments Over Rate Card Rate % Delta (During Period)
2021-01-31 00:00:00,0.35204616998950683,,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Active Assignments Over Rate Card Rate % of Total (During Period)
2021-01-31 00:00:00,0.018884892086330936,0.018884892086330936,LOW IS GOOD,0.00%;-0.00%;0.00%,Misc Measures,Active Assignments that are 1099 % of Total
2021-01-31 00:00:00,0.019412381951731374,,LOW IS GOOD,0.00%;-0.00%;0.00%,Demographic & Compliance Measures,Active Assignments that are 1099 % of Total (During Period)
2021-01-31 00:00:00,0.3035071942446043,0.3035071942446043,LOW IS GOOD,0.00%;-0.00%;0.00%,Misc Measures,Active Assignments that are W2 % of Total
2021-01-31 00:00:00,0.3740818467995803,,LOW IS GOOD,0.00%;-0.00%;0.00%,Demographic & Compliance Measures,Active Assignments that are W2 % of Total (During Period)
2021-01-31 00:00:00,0.00472193074501574,,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Active Assignments Within 1% Below Rate Card % of Total (During Period)
2021-01-31 00:00:00,0.5819,,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Candidates Markup %
2021-01-31 00:00:00,0.5819,,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Candidates Markup % (W2)
2021-01-31 00:00:00,0.2,,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Candidates Within 1% Below Request Rate % of Total
2021-01-31 00:00:00,0.3157894736842105,,LOW IS GOOD,0.00\ %;-0.00\ %;0.00\ %,Quality Measures,Negative Turnover %
2021-01-31 00:00:00,0,,LOW IS GOOD,0.0000%;-0.0000%;0.0000%,Spend Measures,Total Beeline Fee %
2021-01-31 00:00:00,675,675,LOW/HIGH IS NEUTRAL,"",Misc Measures,Active Assignments that are W2
2021-01-31 00:00:00,114,,LOW/HIGH IS NEUTRAL,0,Sourcing Measures,Assignment Ends
2021-01-31 00:00:00,25,,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs Submitting Requests
2021-01-31 00:00:00,540,540,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Active Assignments
2021-01-31 00:00:00,558,,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Active Assignments (During Period)
2021-01-31 00:00:00,29,,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Assignment Starts
2021-01-31 00:00:00,468,,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Spend
2021-01-31 00:00:00,43,,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers Receiving Requests
2021-01-31 00:00:00,3,,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers Submitting Candidates
2021-01-31 00:00:00,130,130,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Active Assignments
2021-01-31 00:00:00,135,,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Active Assignments (During Period)
2021-01-31 00:00:00,24,,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Assignments Starts
2021-01-31 00:00:00,87,,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Spend
2021-02-28 00:00:00,2224,2224,HIGH IS GOOD,"#,0",Misc Measures,Active Assignments
2021-02-28 00:00:00,55,199,HIGH IS GOOD,"#,0",Sourcing Measures,Openings
2021-02-28 00:00:00,26,40,HIGH IS GOOD,"#,0",Sourcing Measures,Requests
2021-02-28 00:00:00,26,40,HIGH IS GOOD,"#,0",Sourcing Measures,Requests Received
2021-02-28 00:00:00,,2,HIGH IS GOOD,"#,0",Sourcing Measures,Requests Responded w/Candidates
2021-02-28 00:00:00,23599307,32276684,HIGH IS GOOD,"#,0.00",Spend Measures,Total Spend-Thru
2021-02-28 00:00:00,0,0,HIGH IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Spend Measures,Total Volume Discount
2021-02-28 00:00:00,1885,1906,HIGH IS GOOD,0,Demographic & Compliance Measures,Active Assignments (During Period)
2021-02-28 00:00:00,93,53,HIGH IS GOOD,0,Sourcing Measures,Assignment Starts
2021-02-28 00:00:00,,3,HIGH IS GOOD,0,Sourcing Measures,Candidates Hired
2021-02-28 00:00:00,,5,HIGH IS GOOD,0,Quality Measures,Candidates Qualified
2021-02-28 00:00:00,,5,HIGH IS GOOD,0,Sourcing Measures,Candidates Submitted
2021-02-28 00:00:00,55,199,HIGH IS GOOD,0,Sourcing Measures,Openings Received
2021-02-28 00:00:00,37,7,HIGH IS GOOD,0,Quality Measures,Positive Turnover Count
2021-02-28 00:00:00,82,149,HIGH IS GOOD,0,Sourcing Measures,Releases
2021-02-28 00:00:00,,0.125,HIGH IS GOOD,0.00%;-0.00%;0.00%,Sourcing Measures,Fill Efficiency Rate %
2021-02-28 00:00:00,,0.6,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Qualified to Hire %
2021-02-28 00:00:00,,0.23030303030303031,HIGH IS GOOD,0.00%;-0.00%;0.00%,Sourcing Measures,Response Rate %
2021-02-28 00:00:00,,0.8333333333333333,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Submit to Hire %
2021-02-28 00:00:00,,1,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Submit to Qualified %
2021-02-28 00:00:00,0.25,0.3157894736842105,HIGH IS GOOD,0.00\ %;-0.00\ %;0.00\ %,Quality Measures,Positive Turnover %
2021-02-28 00:00:00,0,0,HIGH IS GOOD,0.0000%;-0.0000%;0.0000%,Spend Measures,Total Volume Discount %
2021-02-28 00:00:00,,40.04,LOW IS GOOD,"#,0",Sourcing Measures,1st Qualified Candidate Response (In Hours)
2021-02-28 00:00:00,661,671,LOW IS GOOD,"#,0",Cost Containment,Active Assignments Over Rate Card Rate (During Period)
2021-02-28 00:00:00,,20.0551,LOW IS GOOD,"#,0.00",Sourcing Measures,Time to Onboard
2021-02-28 00:00:00,0,0,LOW IS GOOD,"#,0.00",Spend Measures,Total Beeline Fee
2021-02-28 00:00:00,,44.856,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Average Bill Rate
2021-02-28 00:00:00,,21.875,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Average Pay Rate
2021-02-28 00:00:00,,48,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Median Bill Rate
2021-02-28 00:00:00,,21.875,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Median Pay Rate
2021-02-28 00:00:00,42,42,LOW IS GOOD,0,Misc Measures,Active Assignments that are 1099
2021-02-28 00:00:00,36,37,LOW IS GOOD,0,Demographic & Compliance Measures,Active Assignments that are 1099 (During Period)
2021-02-28 00:00:00,694,713,LOW IS GOOD,0,Demographic & Compliance Measures,Active Assignments that are W2 (During Period)
2021-02-28 00:00:00,9,9,LOW IS GOOD,0,Cost Containment,Active Assignments Within 1% Below Rate Card (During Period)
2021-02-28 00:00:00,,1,LOW IS GOOD,0,Cost Containment,Candidates Within 1% Below Request Rate
2021-02-28 00:00:00,44,36,LOW IS GOOD,0,Quality Measures,Negative Turnover Count
2021-02-28 00:00:00,11,,LOW IS GOOD,0,Quality Measures,No Show Count
2021-02-28 00:00:00,,2.666,LOW IS GOOD,0.00,Quality Measures,Avg Interview Rating
2021-02-28 00:00:00,,29.7679,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From HM Qualified to Offer Extended Average  (Cal Days)
2021-02-28 00:00:00,,33.7163,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From HM Qualified to Offer Extended Median (Cal Days)
2021-02-28 00:00:00,,0.0004,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to HM Qualified Average (Cal Days)
2021-02-28 00:00:00,,0.0004,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to HM Qualified Median (Cal Days)
2021-02-28 00:00:00,,29.7683,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to Offer Extended  Average (Cal Days)
2021-02-28 00:00:00,,33.7165,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to Offer Extended Median (Cal Days)
2021-02-28 00:00:00,,19.5595,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Accepted to Hired Average (Cal Days)
2021-02-28 00:00:00,,13.9669,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Accepted to Hired Median (Cal Days)
2021-02-28 00:00:00,,20.0551,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Accepted To Onboard Average (Cal Days)
2021-02-28 00:00:00,,14.4646,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Accepted To Onboard Median (Cal Days)
2021-02-28 00:00:00,,0.1909,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Extended to Offer Accepted Average (Cal Days)
2021-02-28 00:00:00,,0.1294,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Offer Extended to Offer Accepted Median (Cal Days)
2021-02-28 00:00:00,,55.5568,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Hired Average (Cal Days)
2021-02-28 00:00:00,,48.8063,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Hired Median (Cal Days)
2021-02-28 00:00:00,,0.1613,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To HM Qualified  Median (Cal Days)
2021-02-28 00:00:00,,6.0484,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To HM Qualified Average (Cal Days)
2021-02-28 00:00:00,,17.7957,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Interview Scheduled Average (Cal Days)
2021-02-28 00:00:00,,19.344,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Interview Scheduled Median (Cal Days)
2021-02-28 00:00:00,,6.048,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted to MSP Qualified Average (Cal Days)
2021-02-28 00:00:00,,0.1611,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted to MSP Qualified Median (Cal Days)
2021-02-28 00:00:00,,34.71,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Offer Extended  Median (Cal Days)
2021-02-28 00:00:00,,35.8065,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Offer Extended Average (Cal Days)
2021-02-28 00:00:00,,56.0525,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Onboard Average  (Cal Days)
2021-02-28 00:00:00,,49.304,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From Submitted To Onboard Median (Cal Days)
2021-02-28 00:00:00,0.2895,0.2815,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Active Assignments Over Rate Card Rate % Delta (During Period)
2021-02-28 00:00:00,0.3506631299734748,0.35204616998950683,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Active Assignments Over Rate Card Rate % of Total (During Period)
2021-02-28 00:00:00,0.018884892086330936,0.018884892086330936,LOW IS GOOD,0.00%;-0.00%;0.00%,Misc Measures,Active Assignments that are 1099 % of Total
2021-02-28 00:00:00,0.01909814323607427,0.019412381951731374,LOW IS GOOD,0.00%;-0.00%;0.00%,Demographic & Compliance Measures,Active Assignments that are 1099 % of Total (During Period)
2021-02-28 00:00:00,0.3035071942446043,0.3035071942446043,LOW IS GOOD,0.00%;-0.00%;0.00%,Misc Measures,Active Assignments that are W2 % of Total
2021-02-28 00:00:00,0.36816976127320955,0.3740818467995803,LOW IS GOOD,0.00%;-0.00%;0.00%,Demographic & Compliance Measures,Active Assignments that are W2 % of Total (During Period)
2021-02-28 00:00:00,0.004774535809018567,0.00472193074501574,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Active Assignments Within 1% Below Rate Card % of Total (During Period)
2021-02-28 00:00:00,,0.5819,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Candidates Markup %
2021-02-28 00:00:00,,0.5819,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Candidates Markup % (W2)
2021-02-28 00:00:00,,0.2,LOW IS GOOD,0.00%;-0.00%;0.00%,Cost Containment,Candidates Within 1% Below Request Rate % of Total
2021-02-28 00:00:00,0.25,0.3157894736842105,LOW IS GOOD,0.00\ %;-0.00\ %;0.00\ %,Quality Measures,Negative Turnover %
2021-02-28 00:00:00,0.0625,,LOW IS GOOD,0.00\ %;-0.00\ %;0.00\ %,Quality Measures,No Show %
2021-02-28 00:00:00,0,0,LOW IS GOOD,0.0000%;-0.0000%;0.0000%,Spend Measures,Total Beeline Fee %
2021-02-28 00:00:00,675,675,LOW/HIGH IS NEUTRAL,"",Misc Measures,Active Assignments that are W2
2021-02-28 00:00:00,176,114,LOW/HIGH IS NEUTRAL,0,Sourcing Measures,Assignment Ends
2021-02-28 00:00:00,25,25,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs Submitting Requests
2021-02-28 00:00:00,540,540,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Active Assignments
2021-02-28 00:00:00,545,558,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Active Assignments (During Period)
2021-02-28 00:00:00,33,29,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Assignment Starts
2021-02-28 00:00:00,446,468,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Spend
2021-02-28 00:00:00,35,43,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers Receiving Requests
2021-02-28 00:00:00,,3,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers Submitting Candidates
2021-02-28 00:00:00,130,130,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Active Assignments
2021-02-28 00:00:00,135,135,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Active Assignments (During Period)
2021-02-28 00:00:00,25,24,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Assignments Starts
2021-02-28 00:00:00,87,87,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Spend
2021-03-31 00:00:00,2224,2224,HIGH IS GOOD,"#,0",Misc Measures,Active Assignments
2021-03-31 00:00:00,50,55,HIGH IS GOOD,"#,0",Sourcing Measures,Openings
2021-03-31 00:00:00,34,26,HIGH IS GOOD,"#,0",Sourcing Measures,Requests
2021-03-31 00:00:00,34,26,HIGH IS GOOD,"#,0",Sourcing Measures,Requests Received
2021-03-31 00:00:00,1,,HIGH IS GOOD,"#,0",Sourcing Measures,Requests Responded w/Candidates
2021-03-31 00:00:00,19455072,23599307,HIGH IS GOOD,"#,0.00",Spend Measures,Total Spend-Thru
2021-03-31 00:00:00,0,0,HIGH IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Spend Measures,Total Volume Discount
2021-03-31 00:00:00,1808,1885,HIGH IS GOOD,0,Demographic & Compliance Measures,Active Assignments (During Period)
2021-03-31 00:00:00,99,93,HIGH IS GOOD,0,Sourcing Measures,Assignment Starts
2021-03-31 00:00:00,2,,HIGH IS GOOD,0,Sourcing Measures,Candidates Hired
2021-03-31 00:00:00,2,,HIGH IS GOOD,0,Quality Measures,Candidates Qualified
2021-03-31 00:00:00,2,,HIGH IS GOOD,0,Sourcing Measures,Candidates Submitted
2021-03-31 00:00:00,50,55,HIGH IS GOOD,0,Sourcing Measures,Openings Received
2021-03-31 00:00:00,69,37,HIGH IS GOOD,0,Quality Measures,Positive Turnover Count
2021-03-31 00:00:00,75,82,HIGH IS GOOD,0,Sourcing Measures,Releases
2021-03-31 00:00:00,0.6666666666666666,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Sourcing Measures,Fill Efficiency Rate %
2021-03-31 00:00:00,1,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Qualified to Hire %
2021-03-31 00:00:00,0.125,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Sourcing Measures,Response Rate %
2021-03-31 00:00:00,1,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Submit to Hire %
2021-03-31 00:00:00,1,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Submit to Qualified %
2021-03-31 00:00:00,0.16379310344827586,0.25,HIGH IS GOOD,0.00\ %;-0.00\ %;0.00\ %,Quality Measures,Positive Turnover %
2021-03-31 00:00:00,0,0,HIGH IS GOOD,0.0000%;-0.0000%;0.0000%,Spend Measures,Total Volume Discount %
2021-03-31 00:00:00,104.7039,,LOW IS GOOD,"#,0",Sourcing Measures,1st Qualified Candidate Response (In Hours)
2021-03-31 00:00:00,671,661,LOW IS GOOD,"#,0",Cost Containment,Active Assignments Over Rate Card Rate (During Period)
2021-03-31 00:00:00,2,,LOW IS GOOD,"#,0",Sourcing Measures,Candidates Submitted Pre-Id
2021-03-31 00:00:00,0,0,LOW IS GOOD,"#,0.00",Spend Measures,Total Beeline Fee
2021-03-31 00:00:00,16.43,,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Average Bill Rate
2021-03-31 00:00:00,11,,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Average Pay Rate
2021-03-31 00:00:00,16.43,,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Median Bill Rate
2021-03-31 00:00:00,11,,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Median Pay Rate
2021-03-31 00:00:00,42,42,LOW IS GOOD,0,Misc Measures,Active Assignments that are 1099
2021-03-31 00:00:00,37,36,LOW IS GOOD,0,Demographic & Compliance Measures,Active Assignments that are 1099 (During Period)
2021-03-31 00:00:00,605,694,LOW IS GOOD,0,Demographic & Compliance Measures,Active Assignments that are W2 (During Period)
2021-03-31 00:00:00,8,9,LOW IS GOOD,0,Cost Containment,Active Assignments Within 1% Below Rate Card (During Period)
2021-03-31 00:00:00,2,,LOW IS GOOD,0,Sourcing Measures,Candidates Hired Pre-Id
2021-03-31 00:00:00,38,44,LOW IS GOOD,0,Quality Measures,Negative Turnover Count
2021-03-31 00:00:00,,11,LOW IS GOOD,0,Quality Measures,No Show Count
2021-03-31 00:00:00,4,,LOW IS GOOD,0.00,Quality Measures,Avg Interview Rating
2021-03-31 00:00:00,9.8427,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From HM Qualified to Offer Extended Average  (Cal Days)
2021-03-31 00:00:00,9.8427,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From HM Qualified to Offer Extended Median (Cal Days)
2021-03-31 00:00:00,0.0005,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to HM Qualified Average (Cal Days)
2021-03-31 00:00:00,0.0005,,LOW IS GOOD,0.00,Cycle Time Measures,Cycle Time From MSP Qualified to HM Qualified Median (Cal Days)
