VEDA Measure Category,VEDA Measure Name,VEDA Measure,VEDA Measure PY,VEDA Measure FormatString,VEDA Measure Sentiment
Quality Measures,Negative Turnover %,0.2211429292292166,0.27572526655095464,0.00\ %;-0.00\ %;0.00\ %,LOW IS GOOD
Quality Measures,Negative Turnover Count,1753,1112,0,LOW IS GOOD
Quality Measures,No Show %,0.009965939195155796,0.012397718819737169,0.00\ %;-0.00\ %;0.00\ %,LOW IS GOOD
Quality Measures,No Show Count,79,50,0,LOW IS GOOD
Quality Measures,Positive Turnover %,0.2211429292292166,0.27572526655095464,0.00\ %;-0.00\ %;0.00\ %,HIGH IS GOOD
Quality Measures,Positive Turnover Count,778,526,0,HIGH IS GOOD
Quality Measures,Qualified to Hire %,0.29936305732484075,0.30327868852459017,0.00%;-0.00%;0.00%,HIGH IS GOOD
Quality Measures,Submit to Hire %,0.5265289291605081,0.5704006827275525,0.00%;-0.00%;0.00%,HIGH IS GOOD
Quality Measures,Submit to Qualified %,1,1,0.00%;-0.00%;0.00%,HIGH IS GOOD
Sourcing Measures,1st Qualified Candidate Response (In Hours),188.7387,180.6842,"#,0",LOW IS GOOD
Sourcing Measures,Assignment Ends,7927,4033,0,LOW/HIGH IS NEUTRAL
Sourcing Measures,Assignment Starts,7927,4248,0,HIGH IS GOOD
Sourcing Measures,Candidates Hired,47,37,0,HIGH IS GOOD
Sourcing Measures,Candidates Hired Pre-Id,8,7,0,LOW IS GOOD
Sourcing Measures,Candidates Hired Pre-Id %,0.1702127659574468,0.1891891891891892,0.00%;-0.00%;0.00%,LOW IS GOOD
Sourcing Measures,Candidates Submitted,157,122,0,HIGH IS GOOD
Sourcing Measures,Candidates Submitted Pre-Id,9,8,"#,0",LOW IS GOOD
Sourcing Measures,Candidates Submitted Pre-Id %,0.05732484076433121,0.06557377049180328,0.00%;-0.00%;0.00%,LOW IS GOOD
Sourcing Measures,Fill Efficiency Rate %,0.4226011616767919,0.43139584932581626,0.00%;-0.00%;0.00%,HIGH IS GOOD
Sourcing Measures,Openings,5299,2081,"#,0",HIGH IS GOOD
Sourcing Measures,Openings Received,5113,2080,0,HIGH IS GOOD
Sourcing Measures,Releases,8335,4016,0,HIGH IS GOOD
Sourcing Measures,Requests,2674,1077,"#,0",HIGH IS GOOD
Sourcing Measures,Requests Received,2633,1077,"#,0",HIGH IS GOOD
Sourcing Measures,Requests Responded w/Candidates,77,55,"#,0",HIGH IS GOOD
Sourcing Measures,Response Rate %,0.037467625180822854,0.04327047174724389,0.00%;-0.00%;0.00%,HIGH IS GOOD
Sourcing Measures,Time to Onboard,19.0609,19.8106,"#,0.00",LOW IS GOOD
Spend Measures,Total Beeline Fee,390219,0,"#,0.00",LOW IS GOOD
Spend Measures,Total Beeline Fee %,0.0006251042987881767,0,0.0000%;-0.0000%;0.0000%,LOW IS GOOD
Spend Measures,Total Spend-Thru,624246227,302716295,"#,0.00",HIGH IS GOOD
Spend Measures,Total Volume Discount,0,0,"\$#,0.00;(\$#,0.00);\$#,0.00",HIGH IS GOOD
Spend Measures,Total Volume Discount %,0,0,0.0000%;-0.0000%;0.0000%,HIGH IS GOOD
